,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
45,431,28,79,18,6,28079018_6_48,2010,10,0.5,V,0.4,V,0.3,V,0.3,V,0.5,V,0.6,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.5,V,0.6,V,0.8,V,0.7,V,0.7,V,0.7,V,0.4,V,0.3,V,0.6,V,0.8,V,0.9,V,0.6,V,0.3,V,0.3,V,1.9290322580645152
46,432,28,79,18,6,28079018_6_48,2010,11,0.3,V,0.6,V,0.7,V,0.7,V,0.7,V,0.5,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.7,V,0.5,V,0.4,V,0.3,V,0.5,V,0.3,V,0.4,V,0.5,V,0.3,V,0.3,V,0.4,V,0.6,V,0.6,V,0.7,V,0.4,V,0.5,V,0.6,V,0.6,V,0.5,V,0.0,N,2.0066666666666664
47,433,28,79,18,6,28079018_6_48,2010,12,0.3,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.3,V,0.4,V,0.5,V,0.5,V,0.6,V,0.8,V,0.9,V,0.6,V,0.4,V,0.5,V,0.8,V,0.7,V,0.4,V,0.5,V,0.5,V,0.4,V,0.4,V,0.5,V,0.5,V,0.6,V,0.8,V,0.9,V,0.9,V,0.7,V,0.5,V,2.06774193548387
48,542,28,79,24,6,28079024_6_48,2010,1,0.7,V,0.7,V,0.8,V,0.7,V,0.5,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.4,V,0.3,V,0.2,V,0.3,V,0.3,V,0.3,V,0.4,V,0.2,V,0.0,N,0.0,N,0.0,N,0.0,N,0.2,V,0.0,N,0.0,N,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,2.2680000000000002
49,543,28,79,24,6,28079024_6_48,2010,2,0.2,V,0.3,V,0.4,V,0.3,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.3,V,0.2,V,0.3,V,0.2,V,0.0,N,0.3,V,0.4,V,0.2,V,0.3,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.0,N,0.0,N,0.0,N,2.0592592592592602
50,544,28,79,24,6,28079024_6_48,2010,3,0.2,V,0.2,V,0.0,N,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.0,N,0.0,N,0.3,V,0.3,V,0.3,V,0.2,V,0.0,N,0.3,V,0.3,V,0.2,V,0.0,N,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,2.1576923076923085
51,545,28,79,24,6,28079024_6_48,2010,4,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.0,N,1.923333333333335
52,546,28,79,24,6,28079024_6_48,2010,5,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,1.8774193548387126
53,547,28,79,24,6,28079024_6_48,2010,6,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.0,N,1.9666666666666694
54,548,28,79,24,6,28079024_6_48,2010,7,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.1,V,0.1,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,1.9387096774193575
